"행정구역","2008년_총인구수","2008년_세대수","2008년_세대당 인구","2008년_남자 인구수","2008년_여자 인구수","2008년_남여 비율","2009년_총인구수","2009년_세대수","2009년_세대당 인구","2009년_남자 인구수","2009년_여자 인구수","2009년_남여 비율","2010년_총인구수","2010년_세대수","2010년_세대당 인구","2010년_남자 인구수","2010년_여자 인구수","2010년_남여 비율","2011년_총인구수","2011년_세대수","2011년_세대당 인구","2011년_남자 인구수","2011년_여자 인구수","2011년_남여 비율","2012년_총인구수","2012년_세대수","2012년_세대당 인구","2012년_남자 인구수","2012년_여자 인구수","2012년_남여 비율","2013년_총인구수","2013년_세대수","2013년_세대당 인구","2013년_남자 인구수","2013년_여자 인구수","2013년_남여 비율","2014년_총인구수","2014년_세대수","2014년_세대당 인구","2014년_남자 인구수","2014년_여자 인구수","2014년_남여 비율","2015년_총인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율"
"경기도 경기도 성남시 (4113000000)","942,447","367,675","          2.56","471,033","471,414","          1.00","962,726","375,386","          2.56","480,310","482,416","          1.00","980,190","385,050","          2.55","489,222","490,968","          1.00","979,323","384,230","          2.55","488,586","490,737","          1.00","978,615","384,316","          2.55","488,319","490,296","          1.00","979,534","387,053","          2.53","488,219","491,315","          0.99","974,608","388,340","          2.51","485,207","489,401","          0.99","971,424","390,968","          2.48","482,864","488,560","          0.99"
"경기도 경기도 성남시 수정구 (4113100000)","248,452","105,403","          2.36","126,314","122,138","          1.03","242,161","103,663","          2.34","123,280","118,881","          1.04","241,070","105,253","          2.29","122,877","118,193","          1.04","236,123","103,707","          2.28","120,382","115,741","          1.04","233,997","102,949","          2.27","119,427","114,570","          1.04","228,167","101,505","          2.25","116,445","111,722","          1.04","223,539","100,362","          2.23","114,066","109,473","          1.04","219,531","99,425","          2.21","112,045","107,486","          1.04"
"경기도 성남시 수정구 신흥1동(4113151000)","17,117","8,056","          2.12","8,711","8,406","          1.04","16,391","7,898","          2.08","8,330","8,061","          1.03","16,689","8,216","          2.03","8,491","8,198","          1.04","16,249","8,039","          2.02","8,279","7,970","          1.04","15,772","7,939","          1.99","8,061","7,711","          1.05","15,213","7,825","          1.94","7,795","7,418","          1.05","14,693","7,683","          1.91","7,554","7,139","          1.06","14,299","7,586","          1.88","7,406","6,893","          1.07"
"경기도 성남시 수정구 신흥2동(4113152000)","33,339","12,911","          2.58","16,690","16,649","          1.00","32,613","12,585","          2.59","16,355","16,258","          1.01","32,496","12,564","          2.59","16,336","16,160","          1.01","32,012","12,395","          2.58","16,130","15,882","          1.02","31,266","12,153","          2.57","15,779","15,487","          1.02","30,473","12,004","          2.54","15,381","15,092","          1.02","29,657","11,761","          2.52","14,972","14,685","          1.02","29,045","11,578","          2.51","14,656","14,389","          1.02"
"경기도 성남시 수정구 신흥3동(4113153000)","12,802","5,963","          2.15","6,479","6,323","          1.02","12,440","5,931","          2.10","6,329","6,111","          1.04","12,405","6,050","          2.05","6,304","6,101","          1.03","12,225","6,042","          2.02","6,221","6,004","          1.04","12,015","5,963","          2.01","6,149","5,866","          1.05","11,640","5,852","          1.99","6,006","5,634","          1.07","11,345","5,842","          1.94","5,869","5,476","          1.07","11,094","5,766","          1.92","5,757","5,337","          1.08"
"경기도 성남시 수정구 태평1동(4113154000)","19,507","9,001","          2.17","9,848","9,659","          1.02","19,238","8,989","          2.14","9,795","9,443","          1.04","19,092","9,144","          2.09","9,806","9,286","          1.06","18,846","9,100","          2.07","9,705","9,141","          1.06","18,719","9,085","          2.06","9,653","9,066","          1.06","18,309","9,051","          2.02","9,411","8,898","          1.06","18,075","9,029","          2.00","9,284","8,791","          1.06","17,811","8,972","          1.99","9,143","8,668","          1.05"
"경기도 성남시 수정구 태평2동(4113155000)","21,606","8,871","          2.44","10,984","10,622","          1.03","21,255","8,796","          2.42","10,786","10,469","          1.03","21,119","8,925","          2.37","10,682","10,437","          1.02","20,381","8,629","          2.36","10,315","10,066","          1.02","19,979","8,507","          2.35","10,196","9,783","          1.04","19,272","8,326","          2.31","9,813","9,459","          1.04","18,465","8,079","          2.29","9,369","9,096","          1.03","17,585","7,839","          2.24","8,883","8,702","          1.02"
"경기도 성남시 수정구 태평3동(4113156000)","17,736","7,270","          2.44","9,074","8,662","          1.05","17,221","7,007","          2.46","8,811","8,410","          1.05","17,233","7,196","          2.39","8,787","8,446","          1.04","16,814","7,074","          2.38","8,518","8,296","          1.03","16,483","6,979","          2.36","8,355","8,128","          1.03","16,096","6,899","          2.33","8,119","7,977","          1.02","15,716","6,892","          2.28","7,926","7,790","          1.02","15,276","6,859","          2.23","7,716","7,560","          1.02"
"경기도 성남시 수정구 태평4동(4113156100)","17,814","7,139","          2.50","8,981","8,833","          1.02","17,463","7,084","          2.47","8,871","8,592","          1.03","17,801","7,309","          2.44","8,991","8,810","          1.02","17,360","7,236","          2.40","8,824","8,536","          1.03","16,880","7,099","          2.38","8,593","8,287","          1.04","16,217","6,767","          2.40","8,248","7,969","          1.04","15,871","6,682","          2.38","8,039","7,832","          1.03","15,368","6,540","          2.35","7,804","7,564","          1.03"
"경기도 성남시 수정구 수진1동(4113157000)","18,045","8,338","          2.16","9,210","8,835","          1.04","17,450","8,092","          2.16","8,877","8,573","          1.04","17,136","8,210","          2.09","8,751","8,385","          1.04","16,635","8,046","          2.07","8,480","8,155","          1.04","16,288","7,874","          2.07","8,317","7,971","          1.04","15,490","7,618","          2.03","7,916","7,574","          1.05","14,897","7,492","          1.99","7,607","7,290","          1.04","14,347","7,310","          1.96","7,351","6,996","          1.05"
