"행정구역","2016년12월_전체세대","2016년12월_1인세대","2016년12월_2인세대","2016년12월_3인세대","2016년12월_4인세대","2016년12월_5인세대","2016년12월_6인세대","2016년12월_7인세대","2016년12월_8인세대","2016년12월_9인세대","2016년12월_10인이상세대","2017년12월_전체세대","2017년12월_1인세대","2017년12월_2인세대","2017년12월_3인세대","2017년12월_4인세대","2017년12월_5인세대","2017년12월_6인세대","2017년12월_7인세대","2017년12월_8인세대","2017년12월_9인세대","2017년12월_10인이상세대","2018년12월_전체세대","2018년12월_1인세대","2018년12월_2인세대","2018년12월_3인세대","2018년12월_4인세대","2018년12월_5인세대","2018년12월_6인세대","2018년12월_7인세대","2018년12월_8인세대","2018년12월_9인세대","2018년12월_10인이상세대","2019년12월_전체세대","2019년12월_1인세대","2019년12월_2인세대","2019년12월_3인세대","2019년12월_4인세대","2019년12월_5인세대","2019년12월_6인세대","2019년12월_7인세대","2019년12월_8인세대","2019년12월_9인세대","2019년12월_10인이상세대","2020년12월_전체세대","2020년12월_1인세대","2020년12월_2인세대","2020년12월_3인세대","2020년12월_4인세대","2020년12월_5인세대","2020년12월_6인세대","2020년12월_7인세대","2020년12월_8인세대","2020년12월_9인세대","2020년12월_10인이상세대","2021년12월_전체세대","2021년12월_1인세대","2021년12월_2인세대","2021년12월_3인세대","2021년12월_4인세대","2021년12월_5인세대","2021년12월_6인세대","2021년12월_7인세대","2021년12월_8인세대","2021년12월_9인세대","2021년12월_10인이상세대","2022년12월_전체세대","2022년12월_1인세대","2022년12월_2인세대","2022년12월_3인세대","2022년12월_4인세대","2022년12월_5인세대","2022년12월_6인세대","2022년12월_7인세대","2022년12월_8인세대","2022년12월_9인세대","2022년12월_10인이상세대","2023년12월_전체세대","2023년12월_1인세대","2023년12월_2인세대","2023년12월_3인세대","2023년12월_4인세대","2023년12월_5인세대","2023년12월_6인세대","2023년12월_7인세대","2023년12월_8인세대","2023년12월_9인세대","2023년12월_10인이상세대","2024년12월_전체세대","2024년12월_1인세대","2024년12월_2인세대","2024년12월_3인세대","2024년12월_4인세대","2024년12월_5인세대","2024년12월_6인세대","2024년12월_7인세대","2024년12월_8인세대","2024년12월_9인세대","2024년12월_10인이상세대","2025년12월_전체세대","2025년12월_1인세대","2025년12월_2인세대","2025년12월_3인세대","2025년12월_4인세대","2025년12월_5인세대","2025년12월_6인세대","2025년12월_7인세대","2025년12월_8인세대","2025년12월_9인세대","2025년12월_10인이상세대"
"경기도 경기도 성남시 (4113000000)","394,087","133,187","78,927","76,310","81,056","19,199","4,059","935","296","76","42","396,403","137,214","80,721","76,161","78,491","18,495","3,942","938","312","90","39","398,412","142,582","82,843","75,252","75,207","17,533","3,712","875","303","68","37","400,460","147,532","84,808","74,778","72,014","16,584","3,503","855","276","78","32","407,912","154,631","88,754","75,545","69,402","15,367","3,132","762","215","72","32","409,320","157,586","90,760","75,765","66,945","14,309","2,920","748","182","73","32","408,195","157,679","91,834","76,081","65,207","13,618","2,822","676","201","56","21","409,602","158,989","93,456","76,813","63,400","13,203","2,808","651","202","56","24","410,242","160,664","94,958","77,223","61,168","12,627","2,685","627","207","59","24","409,252","160,062","96,899","77,410","59,384","12,094","2,522","612","184","59","26"
"경기도 경기도 성남시 수정구 (4113100000)","104,855","43,812","22,036","17,925","15,722","4,216","895","179","49","13","8","107,823","45,660","23,029","18,078","15,790","4,129","886","176","55","15","5","108,396","47,148","23,362","17,739","15,134","3,948","803","185","59","10","8","110,333","48,868","24,245","17,769","14,624","3,791","790","183","46","10","7","115,709","52,162","25,992","18,414","14,629","3,573","726","160","37","13","3","114,620","52,480","26,208","17,941","13,811","3,318","674","148","24","12","4","113,458","52,906","26,048","17,523","13,060","3,122","625","134","24","14","2","116,390","54,027","27,159","18,133","13,180","3,106","622","122","26","11","4","116,838","54,562","27,721","18,127","12,657","3,009","597","121","28","11","5","116,200","54,313","28,043","17,972","12,274","2,855","573","128","27","10","5"
"경기도 성남시 수정구 신흥1동(4113151000)","7,773","4,200","1,612","1,042","705","169","35","10","0","0","0","7,822","4,339","1,616","1,008","671","149","32","5","2","0","0","7,738","4,440","1,554","953","608","131","42","5","4","0","1","7,770","4,528","1,575","928","553","142","37","5","1","0","1","7,887","4,723","1,602","886","517","120","33","4","1","0","1","7,956","4,827","1,632","862","480","118","27","8","1","0","1","7,949","4,889","1,671","791","459","108","22","6","2","0","1","7,707","4,778","1,628","758","409","105","24","3","1","0","1","7,590","4,796","1,569","714","383","107","16","2","1","1","1","7,440","4,654","1,609","695","364","98","14","3","1","1","1"
"경기도 성남시 수정구 신흥2동(4113152000)","9,078","3,134","1,854","1,775","1,745","455","90","15","5","3","2","4,485","1,450","879","910","930","250","48","11","5","1","1","3,952","1,176","813","818","839","238","48","14","5","1","0","3,810","1,091","813","806","799","236","47","14","3","0","1","7,666","1,819","1,914","1,843","1,608","393","65","14","7","3","0","7,733","1,754","2,043","1,881","1,603","368","67","11","5","1","0","7,626","1,694","2,077","1,902","1,531","348","60","9","3","2","0","11,370","2,637","3,250","2,845","2,092","456","66","18","3","2","1","12,249","2,560","3,726","3,188","2,177","496","81","14","4","2","1","12,313","2,534","3,751","3,253","2,191","467","91","18","5","2","1"
"경기도 성남시 수정구 신흥3동(4113153000)","5,838","3,166","1,126","779","563","156","37","9","1","0","1","6,026","3,295","1,183","773","590","149","26","9","0","1","0","6,110","3,401","1,212","742","569","151","28","6","1","0","0","6,140","3,469","1,248","737","526","128","27","4","1","0","0","6,425","3,743","1,325","722","503","106","19","6","1","0","0","6,528","3,861","1,311","730","500","108","14","4","0","0","0","6,531","3,899","1,309","738","464","98","18","5","0","0","0","6,416","3,900","1,286","700","418","92","17","3","0","0","0","6,461","3,971","1,304","687","402","79","14","4","0","0","0","6,452","3,969","1,330","682","383","71","12","4","1","0","0"
"경기도 성남시 수정구 태평1동(4113154000)","8,999","4,624","1,816","1,260","986","257","45","8","2","1","0","9,049","4,775","1,867","1,173","931","245","43","10","3","1","1","8,816","4,718","1,871","1,106","862","206","37","12","3","1","0","8,594","4,677","1,841","1,081","753","192","36","8","4","1","1","8,736","4,974","1,834","1,065","659","162","34","3","3","2","0","8,896","5,230","1,868","1,003","610","147","26","8","3","1","0","8,815","5,224","1,895","960","559","141","25","7","3","1","0","8,516","5,121","1,821","878","535","133","23","4","1","0","0","8,352","5,092","1,786","839","481","128","22","3","1","0","0","8,221","5,046","1,806","776","452","121","17","3","0","0","0"
"경기도 성남시 수정구 태평2동(4113155000)","7,640","3,249","1,585","1,389","1,021","300","74","18","2","1","1","7,480","3,175","1,645","1,334","953","285","68","16","2","1","1","7,688","3,360","1,701","1,343","944","280","44","15","1","0","0","7,806","3,528","1,804","1,273","891","256","43","10","1","0","0","7,966","3,863","1,851","1,177","813","221","32","6","2","1","0","7,984","3,967","1,892","1,142","744","196","34","7","2","0","0","7,918","4,038","1,862","1,110","689","180","30","7","2","0","0","7,794","4,100","1,809","1,071","618","160","26","9","1","0","0","7,658","4,047","1,836","1,039","551","154","21","9","1","0","0","7,529","4,006","1,840","998","521","133","19","11","1","0","0"
"경기도 성남시 수정구 태평3동(4113156000)","6,840","2,935","1,427","1,122","1,032","257","48","13","6","0","0","6,894","3,048","1,476","1,121","959","227","51","9","3","0","0","6,779","3,129","1,423","1,077","887","201","43","13","6","0","0","6,813","3,248","1,462","1,053","826","179","29","10","6","0","0","6,893","3,421","1,501","1,004","772","153","30","9","2","1","0","6,909","3,462","1,570","1,006","692","139","30","8","1","1","0","6,880","3,521","1,589","962","643","134","24","6","0","1","0","6,679","3,463","1,595","884","592","114","21","8","1","1","0","6,519","3,433","1,568","843","534","113","18","7","3","0","0","6,314","3,298","1,549","839","501","99","23","5","0","0","0"
"경기도 성남시 수정구 태평4동(4113156100)","6,497","2,436","1,385","1,165","1,110","321","66","9","5","0","0","6,598","2,600","1,409","1,136","1,060","321","61","9","2","0","0","6,587","2,753","1,435","1,076","974","286","48","11","4","0","0","6,455","2,809","1,408","1,030","892","245","58","9","4","0","0","6,624","3,097","1,494","996","785","199","43","8","1","1","0","6,683","3,280","1,493","961","733","165","40","10","1","0","0","6,589","3,305","1,485","931","665","161","33","7","2","0","0","6,264","3,240","1,384","881","578","145","32","4","0","0","0","6,046","3,197","1,368","798","522","130","27","3","1","0","0","5,916","3,178","1,334","754","490","126","30","4","0","0","0"
"경기도 성남시 수정구 수진1동(4113157000)","7,297","3,719","1,667","1,012","673","179","34","8","5","0","0","7,279","3,849","1,642","945","643","152","36","7","4","1","0","7,179","3,896","1,619","923","557","147","28","5","3","0","1","7,248","4,074","1,654","873","486","126","25","6","3","0","1","7,348","4,290","1,649","816","448","118","17","7","2","0","1","7,353","4,362","1,658","795","406","105","19","5","2","0","1","7,207","4,300","1,680","725","379","104","11","5","2","0","1","6,975","4,169","1,639","699","359","86","14","5","3","0","1","6,787","4,145","1,547","649","336","86","17","4","2","0","1","6,682","4,142","1,526","606","309","78","15","3","2","0","1"
