"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~9세","2025년_남_10~19세","2025년_남_20~29세","2025년_남_30~39세","2025년_남_40~49세","2025년_남_50~59세","2025년_남_60~69세","2025년_남_70~79세","2025년_남_80~89세","2025년_남_90~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~9세","2025년_여_10~19세","2025년_여_20~29세","2025년_여_30~39세","2025년_여_40~49세","2025년_여_50~59세","2025년_여_60~69세","2025년_여_70~79세","2025년_여_80~89세","2025년_여_90~99세","2025년_여_100세 이상"
"경기도 성남시 (4113000000)","940,064","940,064","68,835","87,839","132,278","137,008","157,165","155,792","113,617","57,948","24,919","4,168","495","465,407","465,407","35,249","44,995","67,835","69,598","77,503","77,774","55,652","26,391","9,229","1,047","134","474,657","474,657","33,586","42,844","64,443","67,410","79,662","78,018","57,965","31,557","15,690","3,121","361","930,948","930,948","65,673","85,554","127,520","135,164","153,076","155,353","120,379","57,626","26,243","4,228","132","461,131","461,131","33,541","43,856","65,418","69,035","75,334","77,810","58,860","26,212","9,970","1,065","30","469,817","469,817","32,132","41,698","62,102","66,129","77,742","77,543","61,519","31,414","16,273","3,163","102","922,518","922,518","62,619","84,720","121,206","133,802","150,098","154,359","123,453","59,748","28,099","4,281","133","456,882","456,882","31,941","43,413","62,215","68,537","74,020","77,148","60,297","27,282","10,929","1,064","36","465,636","465,636","30,678","41,307","58,991","65,265","76,078","77,211","63,156","32,466","17,170","3,217","97","919,747","919,747","60,026","83,353","116,584","134,145","147,372","154,797","126,893","62,339","29,497","4,602","139","455,137","455,137","30,487","42,599","59,731","68,888","73,058","77,007","62,064","28,486","11,615","1,167","35","464,610","464,610","29,539","40,754","56,853","65,257","74,314","77,790","64,829","33,853","17,882","3,435","104","913,009","913,009","56,995","81,693","111,892","134,540","143,555","153,213","129,313","65,989","30,639","5,050","130","451,408","451,408","29,045","41,633","57,142","69,243","71,295","76,107","63,157","30,298","12,155","1,296","37","461,601","461,601","27,950","40,060","54,750","65,297","72,260","77,106","66,156","35,691","18,484","3,754","93","905,794","905,794","54,161","81,235","105,471","134,428","140,924","150,686","130,341","71,163","31,691","5,539","155","447,380","447,380","27,645","41,417","53,651","69,424","69,938","74,882","63,493","32,741","12,690","1,460","39","458,414","458,414","26,516","39,818","51,820","65,004","70,986","75,804","66,848","38,422","19,001","4,079","116"
"경기도 성남시 수정구 (4113100000)","241,701","241,701","15,869","17,565","35,235","35,971","37,651","41,247","33,482","17,169","6,336","964","212","122,204","122,204","8,005","8,986","18,557","19,208","19,874","20,947","16,249","7,793","2,288","234","63","119,497","119,497","7,864","8,579","16,678","16,763","17,777","20,300","17,233","9,376","4,048","730","149","235,988","235,988","14,911","16,814","33,642","34,981","36,276","40,067","34,874","16,864","6,655","870","34","119,517","119,517","7,547","8,619","17,690","18,737","19,143","20,519","16,984","7,631","2,434","205","8","116,471","116,471","7,364","8,195","15,952","16,244","17,133","19,548","17,890","9,233","4,221","665","26","230,460","230,460","13,774","16,431","31,637","33,795","35,075","38,944","35,201","17,479","7,237","861","26","116,886","116,886","6,993","8,417","16,689","18,138","18,469","20,097","17,267","7,941","2,686","185","4","113,574","113,574","6,781","8,014","14,948","15,657","16,606","18,847","17,934","9,538","4,551","676","22","235,942","235,942","14,310","16,448","30,868","36,087","35,299","39,498","36,360","18,348","7,704","987","33","119,496","119,496","7,186","8,392","16,265","19,290","18,681","20,294","17,907","8,345","2,903","230","3","116,446","116,446","7,124","8,056","14,603","16,797","16,618","19,204","18,453","10,003","4,801","757","30","234,877","234,877","13,480","16,172","29,755","36,125","34,568","38,922","37,054","19,610","8,071","1,087","33","118,695","118,695","6,845","8,147","15,603","19,287","18,263","19,991","18,217","8,977","3,105","254","6","116,182","116,182","6,635","8,025","14,152","16,838","16,305","18,931","18,837","10,633","4,966","833","27","232,389","232,389","12,697","15,957","27,985","35,542","33,826","38,200","37,281","21,219","8,430","1,225","27","117,449","117,449","6,473","8,050","14,658","19,069","17,872","19,683","18,329","9,738","3,277","294","6","114,940","114,940","6,224","7,907","13,327","16,473","15,954","18,517","18,952","11,481","5,153","931","21"
"경기도 성남시 수정구 신흥1동(4113151000)","13,510","13,510","510","723","2,018","1,819","2,024","2,531","2,233","1,139","433","57","23","7,091","7,091","259","383","1,108","1,061","1,168","1,387","1,073","494","139","13","6","6,419","6,419","251","340","910","758","856","1,144","1,160","645","294","44","17","13,436","13,436","460","695","1,949","1,843","1,971","2,524","2,367","1,126","450","50","1","7,096","7,096","229","378","1,037","1,081","1,157","1,407","1,160","494","143","10","0","6,340","6,340","231","317","912","762","814","1,117","1,207","632","307","40","1","13,192","13,192","402","663","1,834","1,826","1,909","2,450","2,422","1,155","478","52","1","6,948","6,948","208","353","958","1,081","1,117","1,374","1,199","487","160","11","0","6,244","6,244","194","310","876","745","792","1,076","1,223","668","318","41","1","12,665","12,665","342","616","1,650","1,729","1,745","2,378","2,475","1,152","522","56","0","6,704","6,704","169","323","878","1,031","1,038","1,358","1,228","487","182","10","0","5,961","5,961","173","293","772","698","707","1,020","1,247","665","340","46","0","12,292","12,292","286","585","1,553","1,652","1,650","2,324","2,441","1,211","527","63","0","6,559","6,559","150","305","851","984","977","1,331","1,226","533","189","13","0","5,733","5,733","136","280","702","668","673","993","1,215","678","338","50","0","12,046","12,046","240","570","1,417","1,624","1,580","2,287","2,403","1,328","527","69","1","6,439","6,439","125","291","759","988","937","1,339","1,212","586","189","13","0","5,607","5,607","115","279","658","636","643","948","1,191","742","338","56","1"
"경기도 성남시 수정구 신흥2동(4113152000)","20,144","20,144","1,778","1,609","2,635","3,425","3,005","3,484","2,675","1,097","358","59","19","9,874","9,874","876","795","1,333","1,742","1,478","1,643","1,295","563","128","16","5","10,270","10,270","902","814","1,302","1,683","1,527","1,841","1,380","534","230","43","14","20,263","20,263","1,776","1,570","2,549","3,289","3,093","3,463","2,927","1,160","368","66","2","9,885","9,885","868","784","1,280","1,651","1,518","1,651","1,396","581","137","19","0","10,378","10,378","908","786","1,269","1,638","1,575","1,812","1,531","579","231","47","2","19,883","19,883","1,696","1,561","2,304","3,147","3,083","3,319","2,991","1,301","415","63","3","9,659","9,659","839","782","1,172","1,576","1,498","1,568","1,414","632","162","15","1","10,224","10,224","857","779","1,132","1,571","1,585","1,751","1,577","669","253","48","2","28,895","28,895","2,750","2,072","3,227","5,449","4,467","4,530","3,953","1,774","581","88","4","14,072","14,072","1,374","1,047","1,621","2,705","2,258","2,107","1,860","840","240","20","0","14,823","14,823","1,376","1,025","1,606","2,744","2,209","2,423","2,093","934","341","68","4","31,411","31,411","3,016","2,181","3,320","6,074","4,922","4,779","4,301","2,052","662","101","3","15,225","15,225","1,522","1,076","1,668","2,971","2,523","2,197","1,985","987","274","22","0","16,186","16,186","1,494","1,105","1,652","3,103","2,399","2,582","2,316","1,065","388","79","3","31,635","31,635","3,031","2,200","3,113","5,931","5,094","4,744","4,394","2,273","744","107","4","15,368","15,368","1,537","1,087","1,579","2,906","2,622","2,171","2,032","1,085","323","26","0","16,267","16,267","1,494","1,113","1,534","3,025","2,472","2,573","2,362","1,188","421","81","4"
"경기도 성남시 수정구 신흥3동(4113153000)","11,265","11,265","420","647","1,749","1,533","1,748","2,142","1,701","954","314","48","9","5,874","5,874","205","347","914","877","976","1,164","832","427","118","12","2","5,391","5,391","215","300","835","656","772","978","869","527","196","36","7","11,325","11,325","413","627","1,672","1,543","1,692","2,163","1,848","975","345","46","1","5,986","5,986","191","348","882","908","943","1,192","940","434","134","14","0","5,339","5,339","222","279","790","635","749","971","908","541","211","32","1","11,220","11,220","371","596","1,590","1,509","1,624","2,146","1,954","1,001","379","50","0","5,978","5,978","173","325","850","873","914","1,221","1,011","457","143","11","0","5,242","5,242","198","271","740","636","710","925","943","544","236","39","0","10,827","10,827","302","544","1,447","1,459","1,513","2,117","2,000","987","406","52","0","5,794","5,794","140","288","765","846","868","1,217","1,051","448","159","12","0","5,033","5,033","162","256","682","613","645","900","949","539","247","40","0","10,755","10,755","282","508","1,403","1,538","1,445","2,040","2,032","1,010","444","53","0","5,762","5,762","143","259","746","900","829","1,169","1,075","456","173","12","0","4,993","4,993","139","249","657","638","616","871","957","554","271","41","0","10,670","10,670","265","483","1,332","1,528","1,393","2,021","2,046","1,071","475","55","1","5,735","5,735","136","245","710","888","803","1,150","1,096","501","190","16","0","4,935","4,935","129","238","622","640","590","871","950","570","285","39","1"
"경기도 성남시 수정구 태평1동(4113154000)","15,550","15,550","512","778","2,806","2,179","2,110","2,719","2,411","1,433","524","64","14","7,931","7,931","265","396","1,432","1,231","1,177","1,403","1,185","628","193","20","1","7,619","7,619","247","382","1,374","948","933","1,316","1,226","805","331","44","13","15,395","15,395","485","688","2,799","2,195","2,044","2,628","2,516","1,408","569","59","4","7,923","7,923","263","354","1,459","1,249","1,153","1,383","1,222","604","222","14","0","7,472","7,472","222","334","1,340","946","891","1,245","1,294","804","347","45","4","15,067","15,067","450","655","2,685","2,160","1,896","2,555","2,523","1,441","642","56","4","7,816","7,816","228","355","1,427","1,246","1,065","1,357","1,252","624","251","11","0","7,251","7,251","222","300","1,258","914","831","1,198","1,271","817","391","45","4","14,376","14,376","377","640","2,481","1,984","1,830","2,427","2,421","1,479","665","68","4","7,454","7,454","180","350","1,318","1,151","1,036","1,276","1,207","652","268","16","0","6,922","6,922","197","290","1,163","833","794","1,151","1,214","827","397","52","4","13,906","13,906","325","608","2,379","1,885","1,731","2,310","2,374","1,531","685","75","3","7,222","7,222","151","335","1,270","1,092","963","1,257","1,189","666","281","18","0","6,684","6,684","174","273","1,109","793","768","1,053","1,185","865","404","57","3","13,522","13,522","273","548","2,237","1,874","1,589","2,207","2,394","1,590","721","88","1","7,005","7,005","123","288","1,214","1,083","898","1,215","1,181","703","280","20","0","6,517","6,517","150","260","1,023","791","691","992","1,213","887","441","68","1"
"경기도 성남시 수정구 태평2동(4113155000)","15,712","15,712","753","1,111","2,507","2,166","2,277","2,804","2,260","1,247","491","78","18","7,890","7,890","362","586","1,327","1,197","1,176","1,435","1,069","548","168","15","7","7,822","7,822","391","525","1,180","969","1,101","1,369","1,191","699","323","63","11","15,402","15,402","701","1,035","2,454","2,136","2,128","2,761","2,319","1,251","539","77","1","7,759","7,759","345","548","1,285","1,191","1,122","1,407","1,110","553","185","13","0","7,643","7,643","356","487","1,169","945","1,006","1,354","1,209","698","354","64","1","14,993","14,993","622","989","2,273","2,067","2,041","2,713","2,342","1,266","602","76","2","7,536","7,536","304","521","1,193","1,158","1,065","1,391","1,131","560","200","13","0","7,457","7,457","318","468","1,080","909","976","1,322","1,211","706","402","63","2","14,430","14,430","536","869","2,077","2,057","1,893","2,647","2,371","1,271","629","74","6","7,269","7,269","250","467","1,114","1,142","1,009","1,336","1,162","553","219","17","0","7,161","7,161","286","402","963","915","884","1,311","1,209","718","410","57","6","14,007","14,007","458","815","1,971","2,019","1,760","2,523","2,388","1,337","649","81","6","7,077","7,077","227","413","1,071","1,117","959","1,288","1,181","571","231","19","0","6,930","6,930","231","402","900","902","801","1,235","1,207","766","418","62","6","13,628","13,628","398","753","1,794","1,973","1,680","2,426","2,406","1,438","652","106","2","6,872","6,872","188","383","971","1,114","910","1,253","1,184","606","236","27","0","6,756","6,756","210","370","823","859","770","1,173","1,222","832","416","79","2"
"경기도 성남시 수정구 태평3동(4113156000)","13,556","13,556","632","916","1,945","1,740","2,034","2,556","2,114","1,107","427","68","17","6,947","6,947","326","454","1,113","945","1,078","1,333","1,063","461","149","19","6","6,609","6,609","306","462","832","795","956","1,223","1,051","646","278","49","11","13,336","13,336","557","887","1,874","1,702","1,903","2,515","2,265","1,117","457","58","1","6,857","6,857","285","434","1,058","951","999","1,344","1,131","477","160","17","1","6,479","6,479","272","453","816","751","904","1,171","1,134","640","297","41","0","13,022","13,022","481","848","1,769","1,670","1,774","2,441","2,325","1,150","508","56","0","6,705","6,705","247","412","998","943","932","1,310","1,161","514","173","15","0","6,317","6,317","234","436","771","727","842","1,131","1,164","636","335","41","0","12,442","12,442","405","763","1,588","1,658","1,599","2,367","2,330","1,166","513","53","0","6,402","6,402","203","378","896","940","838","1,257","1,182","524","172","12","0","6,040","6,040","202","385","692","718","761","1,110","1,148","642","341","41","0","11,980","11,980","345","726","1,458","1,552","1,515","2,262","2,318","1,236","512","56","0","6,162","6,162","175","355","828","875","796","1,175","1,204","560","179","15","0","5,818","5,818","170","371","630","677","719","1,087","1,114","676","333","41","0","11,585","11,585","308","670","1,332","1,458","1,452","2,168","2,316","1,308","516","56","1","5,951","5,951","154","334","734","831","770","1,125","1,215","589","183","16","0","5,634","5,634","154","336","598","627","682","1,043","1,101","719","333","40","1"
"경기도 성남시 수정구 태평4동(4113156100)","13,539","13,539","706","1,200","2,073","1,642","2,149","2,383","1,809","1,063","445","51","18","6,827","6,827","356","600","1,132","901","1,075","1,236","876","469","168","10","4","6,712","6,712","350","600","941","741","1,074","1,147","933","594","277","41","14","13,224","13,224","621","1,111","2,055","1,636","2,019","2,322","1,910","1,023","483","43","1","6,698","6,698","315","564","1,112","911","1,028","1,197","931","442","192","6","0","6,526","6,526","306","547","943","725","991","1,125","979","581","291","37","1","12,796","12,796","548","999","1,960","1,546","1,873","2,310","1,957","1,045","510","45","3","6,521","6,521","279","516","1,047","872","968","1,206","970","454","201","8","0","6,275","6,275","269","483","913","674","905","1,104","987","591","309","37","3","11,908","11,908","419","900","1,775","1,444","1,630","2,226","1,901","1,022","536","52","3","6,134","6,134","222","477","950","832","856","1,168","955","460","201","13","0","5,774","5,774","197","423","825","612","774","1,058","946","562","335","39","3","11,256","11,256","330","817","1,613","1,414","1,478","2,075","1,891","1,023","540","74","1","5,808","5,808","175","430","861","837","781","1,077","965","455","204","23","0","5,448","5,448","155","387","752","577","697","998","926","568","336","51","1","10,906","10,906","301","765","1,464","1,415","1,361","2,002","1,868","1,102","536","91","1","5,616","5,616","160","396","764","844","734","1,053","945","492","204","24","0","5,290","5,290","141","369","700","571","627","949","923","610","332","67","1"
"경기도 성남시 수정구 수진1동(4113157000)","12,595","12,595","392","690","1,768","1,460","1,762","2,543","2,198","1,233","456","72","21","6,531","6,531","195","385","968","850","976","1,372","1,057","540","158","22","8","6,064","6,064","197","305","800","610","786","1,171","1,141","693","298","50","13","12,388","12,388","340","610","1,719","1,450","1,658","2,515","2,377","1,192","460","62","5","6,472","6,472","172","334","929","856","932","1,387","1,174","518","155","15","0","5,916","5,916","168","276","790","594","726","1,128","1,203","674","305","47","5","11,999","11,999","294","569","1,576","1,438","1,517","2,400","2,424","1,231","492","57","1","6,305","6,305","150","302","868","859","860","1,333","1,202","552","166","13","0","5,694","5,694","144","267","708","579","657","1,067","1,222","679","326","44","1","11,564","11,564","246","518","1,446","1,393","1,364","2,310","2,431","1,261","538","55","2","6,096","6,096","128","275","811","827","785","1,276","1,224","571","186","13","0","5,468","5,468","118","243","635","566","579","1,034","1,207","690","352","42","2","11,117","11,117","208","485","1,315","1,355","1,256","2,204","2,392","1,291","548","60","3","5,893","5,893","107","257","753","819","730","1,199","1,229","588","199","11","1","5,224","5,224","101","228","562","536","526","1,005","1,163","703","349","49","2","10,775","10,775","182","439","1,182","1,319","1,206","2,048","2,389","1,392","543","72","3","5,742","5,742","90","230","680","801","710","1,118","1,266","635","198","13","1","5,033","5,033","92","209","502","518","496","930","1,123","757","345","59","2"
